"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"HLA-DOA",NA,2.14892485595634,2.14938563188168,5.36936476528742,2.36443625717713e-12,2.62388520864035e-10
"GIMAP1",NA,1.75186797136648,1.7542687719246,2.55498937867321,2.4400611787328e-12,2.69325032254755e-10
"SERPINC1",NA,-3.47710514205286,-3.60566878750155,-0.996674632560923,2.51952205606113e-12,2.76608490967567e-10
"CEACAM21",NA,1.97193475089634,1.98394464245775,0.56507198167884,2.89323017819208e-12,3.15946891267465e-10
"TMIGD2",NA,2.2506107608768,2.27396934974399,-0.0252097136628507,3.05491267747828e-12,3.31837869146185e-10
"VAV1",NA,1.91200408965576,1.91309846535137,3.86050006129496,3.1938342287591e-12,3.45102193244339e-10
"TRAT1",NA,2.23387595977484,2.24027570067537,1.70946420849738,3.34376449252547e-12,3.59410916395539e-10
"PPIAL4C",NA,-3.11041808846942,-3.16967450714948,-0.398570780747631,3.41446185393209e-12,3.65098447193884e-10
"PTGDS",NA,2.29988927175125,2.30018382570286,6.17890936253218,4.43417055791567e-12,4.7167627748191e-10
"GZMK",NA,2.33696506293329,2.33970056061965,3.02045043295887,4.65375180245532e-12,4.92482085074267e-10
"CCR5",NA,1.93308609711765,1.93451158756253,3.50644241817918,5.05882076298565e-12,5.32603026995361e-10
"CALCA",NA,-4.51163444974099,-4.66644572959657,-0.329660352454446,5.24069044289247e-12,5.48935585676441e-10
"DOCK2",NA,1.9744140739017,1.97491156912011,5.06376813440223,5.93065504148941e-12,6.18052527927805e-10
"CCL17",NA,2.17751383217909,2.20273866901976,-0.194202041044924,6.55448815619221e-12,6.79614352760738e-10
"GAPT",NA,2.24343832596178,2.24768325804233,2.2967218004139,7.52609459632478e-12,7.76435789259033e-10
"SPI1",NA,1.74820930398068,1.74853974635022,5.3897197895792,7.81889944378282e-12,8.02610027904307e-10
"FGD3",NA,1.71335079582363,1.71428171368473,3.8598684172772,8.09521962948016e-12,8.26840094493671e-10
"HMHA1",NA,1.63845137525716,1.63870165482107,5.65687052485548,9.53488844588432e-12,9.6906564254458e-10
"TRPM8",NA,-3.07006198129986,-3.16015180963989,-0.932095834305831,1.08471375138684e-11,1.09700361162423e-09
"CD40LG",NA,2.11138044042371,2.11779890693058,1.57333088428617,1.14110327449024e-11,1.14837501104336e-09
"HLA-DQA1",NA,2.12794457041426,2.12806332941379,7.29954413304676,1.54623602400654e-11,1.54849880843191e-09
"BIN2",NA,1.72588958703427,1.72677529280586,3.94642658388835,2.36320497642996e-11,2.35517466825763e-09
"CDC20B",NA,-3.56020969822334,-3.6620887015391,-0.653369550286533,2.97207121784007e-11,2.94766290349065e-09
"CD1D",NA,1.82629053036051,1.83087635321492,1.72780407857151,3.06607216946682e-11,3.02627219419009e-09
"FCRL6",NA,2.23237107930203,2.24476984129515,0.797047558189925,3.17876090034836e-11,3.12248618584459e-09
